Grantee Name,Grant Number,Program Name,City,State,ZIP Code,County,Congressional District,Award Fiscal Year,Award Funding
"1st Choice Healthcare, Inc.",H8CCS34009,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Corning,AR,72422-1716,Clay,AR-01,2020,"$65,732.00"
"1st Choice Healthcare, Inc.",H8DCS35406,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Corning,AR,72422-1716,Clay,AR-01,2020,"$851,165.00"
"1st Choice Healthcare, Inc.",H8ECS38879,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Corning,AR,72422-1716,Clay,AR-01,2020,"$387,229.00"
3RD STREET COMMUNITY CLINIC,H8CCS34886,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Mansfield,OH,44906-2633,Richland,OH-12,2020,"$65,026.00"
3RD STREET COMMUNITY CLINIC,H8DCS36664,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Mansfield,OH,44906-2633,Richland,OH-12,2020,"$848,960.00"
3RD STREET COMMUNITY CLINIC,H8ECS38572,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Mansfield,OH,44906-2633,Richland,OH-12,2020,"$404,869.00"
"A+ FAMILY HEALTHCARE, LLC",H8CCS34679,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Brownsville,KY,42210-9001,Edmonson,KY-02,2020,"$50,464.00"
"A+ FAMILY HEALTHCARE, LLC",H8DCS36499,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Brownsville,KY,42210-9001,Edmonson,KY-02,2020,"$503,000.00"
"A+ FAMILY HEALTHCARE, LLC",H8ECS38322,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Brownsville,KY,42210-9001,Edmonson,KY-02,2020,"$116,824.00"
"Aaa Comprehensive Healthcare, Inc",H8CCS34055,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),North Hollywood,CA,91605-2803,Los Angeles,CA-29,2020,"$54,981.00"
"Aaa Comprehensive Healthcare, Inc",H8DCS35790,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",North Hollywood,CA,91605-2803,Los Angeles,CA-29,2020,"$580,760.00"
"Aaa Comprehensive Healthcare, Inc",H8ECS38618,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),North Hollywood,CA,91605-2803,Los Angeles,CA-29,2020,"$169,399.00"
"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC.",H8CCS34788,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Clarksdale,MS,38614-4717,Coahoma,MS-02,2020,"$66,220.00"
"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC.",H8DCS36067,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Clarksdale,MS,38614-4717,Coahoma,MS-02,2020,"$828,710.00"
"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC.",H8ECS38913,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Clarksdale,MS,38614-4717,Coahoma,MS-02,2020,"$308,029.00"
"Access Community Health Centers, Inc.",H8CCS34115,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Madison,WI,53713-4231,Dane,WI-02,2020,"$76,980.00"
"Access Community Health Centers, Inc.",H8DCS35528,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Madison,WI,53713-4231,Dane,WI-02,2020,"$1,074,995.00"
"Access Community Health Centers, Inc.",H8ECS38512,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Madison,WI,53713-4231,Dane,WI-02,2020,"$570,724.00"
Access Community Health Network,H8CCS34418,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Chicago,IL,60661-1262,Cook,IL-07,2020,"$230,491.00"
Access Community Health Network,H8DCS36224,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Chicago,IL,60661-1262,Cook,IL-07,2020,"$4,241,405.00"
Access Community Health Network,H8ECS38752,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Chicago,IL,60661-1262,Cook,IL-07,2020,"$2,698,969.00"
"Access Family Health Services, Inc.",H8CCS34851,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Smithville,MS,38870-9745,Monroe,MS-01,2020,"$59,127.00"
"Access Family Health Services, Inc.",H8DCS36155,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Smithville,MS,38870-9745,Monroe,MS-01,2020,"$672,695.00"
"Access Family Health Services, Inc.",H8ECS38611,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Smithville,MS,38870-9745,Monroe,MS-01,2020,"$230,569.00"
Access Health Louisiana,H8CCS34981,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Kenner,LA,70065-4605,Jefferson,LA-01,2020,"$92,042.00"
