Location Name,Amount Spent (USD)
Alabama,58935
Alaska,37637
American Samoa,≤100
Arizona,489467
Arkansas,28674
California,1135995
Colorado,186434
Connecticut,43563
Delaware,14395
Florida,1297017
Georgia,503033
Guam,541
Hawaii,14228
Idaho,15308
Illinois,272924
Indiana,66734
Iowa,139598
Kansas,44474
Kentucky,98548
Louisiana,45224
Maine,73257
Maryland,61284
Massachusetts,77815
Michigan,517278
Minnesota,205022
Mississippi,29478
Missouri,71228
Montana,124467
Nebraska,32662
Nevada,110095
New Hampshire,34857
New Jersey,132337
New Mexico,47354
New York,292411
North Carolina,622301
North Dakota,8523
Northern Mariana Islands,≤100
Ohio,270341
Oklahoma,36657
Oregon,66176
Pennsylvania,753683
Puerto Rico,8082
Rhode Island,11968
South Carolina,132228
South Dakota,8734
Tennessee,62344
Texas,687258
Unknown,≤100
Utah,38903
Vermont,8568
Virgin Islands (U.S.),440
Virginia,126194
Washington,83766
"Washington, District of Columbia",19346
West Virginia,23815
Wisconsin,293506
Wyoming,5231
