Page ID,Page Name,Disclaimer,Amount Spent (USD)
7860876103,Joe Biden,BIDEN VICTORY FUND,56784
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",48397
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,34429
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,25344
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,24533
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,22814
344690446467832,The Copper Courier,"Courier Newsroom, Inc.",17816
55549065733,Voto Latino,VOTO LATINO INC.,16354
108103774350322,We the People 2020,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,15380
109944567501859,Trump for Arizona,"DONALD J. TRUMP FOR PRESIDENT, INC.",15008
101591204987294,Forward Arizona,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,13378
7860876103,Joe Biden,BIDEN FOR PRESIDENT,12925
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,12190
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,10684
108824017345866,Facebook,"Facebook, Inc.",8294
22561081832,NRA Institute for Legislative Action,NRA Victory Fund,8165
370939753393588,Invest in Education Arizona,Invest in Education. (Sponsored by AEA and Stand for Children). Not authorized by any candidate.,7406
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,6892
20531316728,Facebook App,"Facebook, Inc.",6607
1204754733024419,People's Power Grab,ACRONYM,6562
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,6323
367152833370567,Instagram,"Facebook, Inc.",6140
218295086290055,American Leadership Committee,"American Leadership Committee, and not authorized by any candidate.",5970
103472678159706,Preserve America PAC,PRESERVE AMERICA PAC,5910
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,5898
2811385199180287,Smart & Safe Arizona,Smart and Safe Arizona. Not authorized by any candidate.,5560
