Page ID,Page Name,Disclaimer,Amount Spent (USD)
736198543440939,New Approach Montana,NEW APPROACH MONTANA,12555
748857881986418,Montana True,SMP,10561
102291391641646,Daines Out for Himself,MONTANANS FOR BULLOCK,8616
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,5575
172298889630363,Republican Attorneys General Association,REPUBLICAN ATTORNEYS GENERAL ASSOCIATION,4449
108207277708370,Wildest Montana,MONTANANS FOR BULLOCK,3601
103548911154638,Rural America 2020,Rural America Fund,3587
102772418169411,Good Jobs MT,Good Jobs MT,3059
1255514891283096,RGA Right Direction PAC,RGA RIGHT DIRECTION PAC,2838
700806360047982,CFG Action,Club for Growth Action,2602
22561081832,NRA Institute for Legislative Action,NRA Victory Fund,2554
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",2538
109894877501594,Steve Daines Follows The Money,DSCC,2347
121308889733676,No on LR 130,Vote No on LR-130,2337
117580163436452,DAGA People's Lawyer Project Montana,DAGA People's Lawyer Project Montana,2281
119214183247454,Montana Hunters and Anglers Leadership Fund,Montana Hunters and Anglers Leadership Fund,2109
121193649718518,Wrong For Montana,Wrong For Montana,1906
113437503753889,The Real Steve Bullock,NRSC,1629
111288764064979,Americans for All,Americans for All,1406
1576552839287418,Senate Leadership Fund,Senate Leadership Fund,1341
1747132688647028,Democratic Association of Secretaries of State,Democratic Association of Secretaries of State,1233
100053898949,Montana Republican Party,MONTANA REPUBLICAN STATE CENTRAL COMMITTEE,1185
108824017345866,Facebook,"Facebook, Inc.",1167
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,1075
602714436529710,End Citizens United,END CITIZENS UNITED,1007
20531316728,Facebook App,"Facebook, Inc.",999
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,921
48837932638,Montana Democratic Party,Montana Democratic Party,913
228754857151053,House Majority PAC,House Majority PAC,846
360303722260,Kathleen Williams,KATHLEEN WILLIAMS FOR MONTANA,799
8934429638,Planned Parenthood Action,Planned Parenthood Votes,785
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",770
100641371470298,Wild Montana Action Fund,Wild Montana Action Fund,718
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,711
102172141548735,Outdoors Montana,Montana Democratic Party,678
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,671
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",625
100609191787271,Common Sense Voters Of America LLC,Common Sense Voters of America LLC,609
367152833370567,Instagram,"Facebook, Inc.",591
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,582
7860876103,Joe Biden,BIDEN VICTORY FUND,573
18957518672,Rock the Vote,Rock The Vote,565
156968474833352,Stop Republicans,Stop Republicans,556
116287614512,Bryce Bennett,Bryce Bennett for Secretary of State,502
112284557142860,Montana Education,"MFPE, Amanda Curtis, President, 1232 E. 6th Avenue, Helena, MT, 59601",436
684120568395965,OpenSource MT,OpenSource Montana,396
476879826217260,Black for Montana,Mike Black for Montana Supreme Court,395
561200190984484,Montana Prosperity PAC,Montana Prosperity PAC,394
442159053368561,Women Speak Out PAC,Women Speak Out PAC,378
88100109057,ACLU of Montana,ACLU of Montana,352
106822030959533,Jasmine Taylor for HD22,Jasmine Taylor for HD22,328
112325855474892,Speak Up For Education and Kids,National Education Association,313
150621451650636,Montana Wilderness Association,"MONTANA WILDERNESS ASSOCIATION, INC.",306
1179947005448206,Own It Voice It,"RAI Services Company, a subsidiary of Reynolds American Inc.",295
244554749685,National Congress of American Indians,NATIONAL CONGRESS OF AMERICAN INDIANS with Facebook ad credits,291
24413227922,Kamala Harris,BIDEN VICTORY FUND,287
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,286
193568774210,Montana Republican Legislative Campaign Committee,Montana Republican Legislative Campaign Committee,272
115672828500635,Montana Hospital Association,Montana Hospital Association PAC,270
630616383749879,Mike Foote,Protect Our Winters Action Fund,268
242156335955983,Zach Brown,Zach Brown for Gallatin County Commission,254
243547569127454,Carol's List,Carol's List,248
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,246
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,243
280034132055819,WhatsApp,WhatsApp Inc.,239
672910176482462,Raph Graybill for Attorney General,FRIENDS OF RAPH GRAYBILL,237
486742462081051,Mike Cooney for Governor,Cooney for Montana,234
