error,state
-3.179620483568052,Alabama
-1.927115853821687,Alaska
-1.0815275936764124,Arizona
-2.882584221608181,Arkansas
-2.2242145678761926,California
0.7358066277829645,Colorado
-2.013890205672153,Connecticut
-1.2434700462655268,Delaware
-1.1229688067052268,District of Columbia
-3.357579275891559,Florida
-0.2872414171810389,Georgia
-3.611005018936797,Hawaii
-2.8670227626364895,Idaho
-0.40284615829841997,Illinois
-1.3943445725491221,Indiana
-3.9406828714646567,Iowa
-1.4601823215949994,Kansas
-2.7723284706476115,Kentucky
-2.2794651037910505,Louisiana
-2.238167941984981,Maine
0.48299859450948723,Maryland
-0.9705400685153576,Massachusetts
-2.8757778186760174,Michigan
-0.956070908426665,Minnesota
-4.087303948567028,Mississippi
-3.6084209847285607,Missouri
-4.120213337294832,Montana
-1.556029297299527,Nebraska
-2.1683100737062033,Nevada
-0.8147403134049491,New Hampshire
-1.8894484900820574,New Jersey
-0.886745304617631,New Mexico
-8.017495984044388,New York
-1.7150368228195823,North Carolina
-4.687025924146631,North Dakota
-3.8581688539964185,Ohio
-3.3214201831565093,Oklahoma
-0.8186533327521728,Oregon
-2.6479743733000105,Pennsylvania
-1.9947943599583962,Rhode Island
-1.8448191633320954,South Carolina
-4.359695172931499,South Dakota
-3.0467282146477928,Tennessee
-1.863289986165062,Texas
-2.458848303968786,Utah
0.03324598280655122,Vermont
-0.7389085535363771,Virginia
-2.3466536425340467,Washington
-5.24969155479425,West Virginia
-3.721683480306426,Wisconsin
-3.222748173085094,Wyoming
